,cluster,Name
396,4,W02-CUTTACK BRANCH
397,4,W05-JAJPUR ROAD BRANCH
398,2,W12-JHARSUGUDA BRANCH
399,4,W40-KHURDA NODAL POINT
400,4,W22-JEYPORE SORTING OFFICE
401,4,W44-PARADEEP NODAL POINT
402,3,W15-PURI SORTING OFFICE
403,3,W08-RAYAGADA SUB BRANCH
404,4,W03-ROURKELA BRANCH
405,4,W07-SAMBALPUR BRANCH
406,3,K104-ALIPURDUAR BRANCH
407,4,K22-ASANSOL BRANCH
408,4,K37-BAHARAMPORE BRANCH
409,3,K63-BANKURA SUPER FRANCHISE
410,4,K130-BARUIPUR BRANCH
411,4,K85-BOLPUR BRANCH
412,4,K45-BURDWAN BRANCH
413,3,K79-COOCHBEHAR BRANCH
414,3,K84-DARJEELING BRANCH
415,3,K29-DIAMOND HARBOR SORTING OFFICE
416,4,K14-DURGAPUR BRANCH
417,4,K54-FULIA BRANCH
418,3,K51-GANGTOK BRANCH
419,4,K89-HALDIA BRANCH
420,4,K08-HOWRAH BRANCH
421,4,K72-KONA BRANCH
422,0,K95-KOLKATA PAKURIA APEX
423,0,K114-KALINGPONG HELIX SORTING OFFICE
424,4,K40-KHARAGPUR BRANCH
425,4,K01-MOULALI BRANCH
426,4,K05-RAJARHAT BRANCH
427,4,K06-AGARPARA SUPER FRANCHISEE
428,4,K07-TARATALA(GOPALPUR) MASTER FRANCHISEE
429,3,K16-KOLKATA RAJARHAT APEX
430,2,K26-KOLKATA INTERNATIONAL APEX
431,2,K28-BY-PASS BRANCH
432,4,K39-LAKE VIEW BRANCH
433,4,K65-KOLKATA HP APEX
434,4,K68-SALT LAKE BRANCH
435,4,K75-GARIA BRANCH
436,4,K88-CAMAC STREET BRANCH
437,4,K03-KRISHNANAGAR BRANCH
438,4,K23-MALDA BRANCH
439,3,K129-KHAPRAIL BRANCH
440,0,K132-MOYNAGURI HELIX SORTING OFFICE
441,4,K32-MECHEDA BRANCH
442,0,K56-PORT BLAIR BRANCH
443,2,K27-PURULIA SUB BRANCH
444,3,K82-RANGPO SUB BRANCH
445,4,K119-PUNJABI MORE BRANCH
446,4,K81-SERAMPORE SUPER FRANCHISEE
447,2,K15-SILIGURI BRANCH
448,2,K66-SILIGURI-MATIGARA APEX
449,1,K96-NORTH BENGAL T/S APEX
450,4,X03-AGARTALA APEX
451,1,X35-HGB ROAD BRANCH
452,0,X07-AIZAWLSORTING OFFICE
453,3,X13-BONGAIGAON SORTING OFFICE
454,4,X34-BARPETA BRANCH
455,3,X30-DHARMANAGAR BRANCH
456,3,X23-DHUBRI BRANCH
457,1,X04-DIBRUGARH BRANCH
458,2,X21-DIBRUGARH APEX
459,3,X18-GOALPARA BRANCH
460,4,X27-GOLAGHAT BRANCH
461,3,X01-DHARAPUR APEX
462,0,X10-LANUNG GAON BRANCH
463,4,X22-DISPUR BRANCH
464,1,X36-AMINGAON BRANCH
465,0,X12-IMPHAL SORTING OFFICE
466,4,X25-ITANAGAR BRANCH
467,3,X15-JORHAT SORTING OFFICE
468,0,X32-DIMAPUR BRANCH
469,4,X37-MORAN BRANCH
470,3,X19-NAGAON BRANCH
