,cluster,Name
492,0,T36-MOTIHARI BRANCH
493,0,T18-JAMALPUR SUPER FRANCHISEE
494,4,T05-MUZAFFARPUR BRANCH
495,4,T01-PATNA APEX
496,4,T10-ZERO MILE BRANCH
497,3,T17-BIHAR T/S APEX
498,1,T32-EXHIBITION ROAD BRANCH
499,0,T13-PURNEA BRANCH
500,1,T02-RANCHI APEX
501,3,T14-RANCHI CITY BRANCH
502,3,T35-JHARKHAND T/S APEX
503,4,T15-SAHARSA SORTING OFFICE
504,0,T85-SAMASTIPUR SORTING OFFICE
505,4,T40-HAZIPUR SORTING OFFICE
